Country,Wave,Age_Group,B001,B002,B003,B008
EGY,5,1,48.68593955321945,30.83278255122274,87.10526315789474,44.87053425106522
EGY,5,2,48.68593955321945,30.83278255122274,87.10526315789474,44.87053425106522
EGY,5,3,48.68593955321945,30.83278255122274,87.10526315789474,44.87053425106522
EGY,6,1,,,,32.10768220617203
EGY,6,2,,,,32.10768220617203
EGY,6,3,,,,32.10768220617203
EGY,7,1,,,,35.88290840415486
EGY,7,2,,,,35.88290840415486
EGY,7,3,,,,35.88290840415486
ESP,2,1,73.63896848137536,60.61036195883606,76.26760563380282,
ESP,2,2,73.63896848137536,60.61036195883606,76.26760563380282,
ESP,2,3,73.63896848137536,60.61036195883606,76.26760563380282,
ESP,3,1,,68.08326105810927,,55.054151624548744
ESP,3,2,,68.08326105810927,,55.054151624548744
ESP,3,3,,68.08326105810927,,55.054151624548744
ESP,4,1,59.154929577464785,50.219876868953385,91.0333048676345,53.29008341056534
ESP,4,2,59.154929577464785,50.219876868953385,91.0333048676345,53.29008341056534
ESP,4,3,59.154929577464785,50.219876868953385,91.0333048676345,53.29008341056534
ESP,5,1,48.947849954254345,47.315741583257505,90.4170363797693,63.92045454545454
ESP,5,2,48.947849954254345,47.315741583257505,90.4170363797693,63.92045454545454
ESP,5,3,48.947849954254345,47.315741583257505,90.4170363797693,63.92045454545454
ESP,6,1,,,,37.31077471059662
ESP,6,2,,,,37.31077471059662
ESP,6,3,,,,37.31077471059662
EST,3,1,,59.09090909090909,,44.70338983050847
EST,3,2,,59.09090909090909,,44.70338983050847
EST,3,3,,59.09090909090909,,44.70338983050847
EST,6,1,,,,51.442646023926805
EST,6,2,,,,51.442646023926805
EST,6,3,,,,51.442646023926805
ETH,5,1,79.3220338983051,73.46938775510205,56.152277362338545,23.022598870056495
ETH,5,2,79.3220338983051,73.46938775510205,56.152277362338545,23.022598870056495
ETH,5,3,79.3220338983051,73.46938775510205,56.152277362338545,23.022598870056495
ETH,7,1,,,,46.71654197838737
ETH,7,2,,,,46.71654197838737
ETH,7,3,,,,46.71654197838737
FIN,3,1,,55.05154639175258,,43.25481798715203
FIN,3,2,,55.05154639175258,,43.25481798715203
FIN,3,3,,55.05154639175258,,43.25481798715203
FIN,5,1,57.214428857715426,57.21493440968718,51.53061224489795,65.60000000000001
FIN,5,2,57.214428857715426,57.21493440968718,51.53061224489795,65.60000000000001
FIN,5,3,57.214428857715426,57.21493440968718,51.53061224489795,65.60000000000001
FRA,5,1,,,,53.99792315680166
FRA,5,2,,,,53.99792315680166
FRA,5,3,,,,53.99792315680166
GBR,5,1,,,,60.97560975609756
GBR,5,2,,,,60.97560975609756
GBR,5,3,,,,60.97560975609756
GBR,7,1,,,,67.17680225533628
GBR,7,2,,,,67.17680225533628
GBR,7,3,,,,67.17680225533628
GEO,3,1,,68.87966804979253,,63.96396396396396
GEO,3,2,,68.87966804979253,,63.96396396396396
GEO,3,3,,68.87966804979253,,63.96396396396396
GEO,5,1,78.0852655198205,46.970889063729345,77.53891771682729,57.466770914777165
GEO,5,2,78.0852655198205,46.970889063729345,77.53891771682729,57.466770914777165
GEO,5,3,78.0852655198205,46.970889063729345,77.53891771682729,57.466770914777165
GEO,6,1,,,,60.580204778157
GEO,6,2,,,,60.580204778157
GEO,6,3,,,,60.580204778157
GHA,5,1,82.90258449304176,74.35215946843854,52.050264550264544,47.88732394366197
GHA,5,2,82.90258449304176,74.35215946843854,52.050264550264544,47.88732394366197
GHA,5,3,82.90258449304176,74.35215946843854,52.050264550264544,47.88732394366197
GHA,6,1,,,,49.677835051546396
