Country,Wave,B001,B002,B003,B008
COL,6,,,,67.98657718120805
COL,7,,,,69.66887417218544
CYP,5,73.35243553008596,63.132760267430754,69.40726577437859,63.55769230769231
CYP,6,,,,45.11201629327902
CYP,7,,,,52.18818380743983
CZE,2,80.931744312026,71.72264355362947,39.54496208017335,
CZE,3,,64.70588235294117,,52.924528301886795
CZE,7,,,,46.98795180722892
DEU,3,,65.37882589061716,,39.46280991735537
DEU,5,35.35769428718476,26.36409994900561,75.84638706417383,36.627906976744185
DEU,6,,,,47.0440881763527
DEU,7,,,,66.46090534979425
DOM,3,,86.24078624078624,,71.76165803108809
DZA,4,,,,33.572068039391226
DZA,6,,,,38.265306122448976
ECU,6,,,,62.214708368554525
ECU,7,,,,57.19207579672696
EGY,4,,,,51.461202552905604
EGY,5,48.68593955321945,30.83278255122274,87.10526315789474,44.87053425106522
EGY,6,,,,32.10768220617203
EGY,7,,,,35.88290840415486
ESP,2,73.63896848137536,60.61036195883606,76.26760563380282,
ESP,3,,68.08326105810927,,55.054151624548744
ESP,4,59.154929577464785,50.219876868953385,91.0333048676345,53.29008341056534
ESP,5,48.947849954254345,47.315741583257505,90.4170363797693,63.92045454545454
ESP,6,,,,37.31077471059662
EST,3,,59.09090909090909,,44.70338983050847
EST,6,,,,51.442646023926805
ETH,5,79.3220338983051,73.46938775510205,56.152277362338545,23.022598870056495
ETH,7,,,,46.71654197838737
FIN,3,,55.05154639175258,,43.25481798715203
FIN,5,57.214428857715426,57.21493440968718,51.53061224489795,65.60000000000001
FRA,5,,,,53.99792315680166
GBR,5,,,,60.97560975609756
GBR,7,,,,67.17680225533628
GEO,3,,68.87966804979253,,63.96396396396396
GEO,5,78.0852655198205,46.970889063729345,77.53891771682729,57.466770914777165
GEO,6,,,,60.580204778157
GHA,5,82.90258449304176,74.35215946843854,52.050264550264544,47.88732394366197
GHA,6,,,,49.677835051546396
GRC,7,,,,56.754306436990035
GTM,5,84.61538461538461,63.19514661274014,80.2020202020202,61.8421052631579
GTM,7,,,,58.993399339933994
HKG,5,63.183673469387756,57.27124183006536,52.743652743652746,40.419947506561684
HKG,6,,,,58.717434869739485
HKG,7,,,,53.90208434318953
HRV,3,,67.13286713286713,,58.883720930232556
HTI,6,,,,3.8839979285344386
HUN,3,,41.44,,31.36
HUN,5,45.29652351738241,41.15853658536585,79.67313585291113,49.52879581151832
IDN,5,72.23113964686998,58.97435897435898,87.7720207253886,34.67889908256881
IDN,7,,,,73.3607855559075
IND,2,80.81960287283482,66.0,52.31871838111298,
IND,3,,55.304878048780495,,28.708133971291865
IND,4,67.02775897088694,52.94117647058824,55.16542876434841,48.10126582278481
IND,5,68.03499327052491,61.937244201909955,63.56382978723404,52.45786516853933
IND,6,,,,69.83289357959542
IND,7,,,,57.57372654155496
IRN,4,,,,45.4900048756704
IRN,5,84.79488144523899,77.24528301886792,91.30598419269853,48.189096454441476
IRN,7,,,,65.34320323014805
IRQ,6,,,,44.329896907216494
IRQ,7,,,,43.166666666666664
ISR,4,,,,32.036199095022624
ITA,5,61.39784946236559,52.054794520547944,89.57688338493293,60.85011185682326
JOR,4,,,,53.431798436142486
JOR,5,72.92202227934875,44.67353951890035,91.36752136752136,54.664341761115956
JOR,6,,,,37.142857142857146
JOR,7,,,,50.982142857142854
JPN,2,67.98469387755102,50.95693779904307,56.125,
JPN,3,,66.66666666666666,,46.14305750350631
JPN,4,70.20109689213893,62.16216216216216,55.690298507462686,49.09862142099682
JPN,5,66.48291069459758,53.446447507953344,57.64192139737992,53.2
JPN,6,,,,35.927367055771725
JPN,7,,,,50.72463768115942
KAZ,6,,,,53.93333333333333
KAZ,7,,,,49.16151809355693
KEN,7,,,,46.83127572016461
KGZ,4,79.38342967244701,55.13565891472868,60.549558390578994,50.83088954056696
KGZ,6,,,,61.46408839779005
KGZ,7,,,,66.2269129287599
KOR,2,84.18940609951846,75.70394207562349,50.32258064516129,
KOR,3,,75.54129911788291,,70.46296296296296
KOR,4,83.67546432062561,56.7191844300278,66.79280983916746,52.589641434262944
KOR,5,77.23102585487906,52.083333333333336,69.08333333333333,36.09022556390977
KOR,6,,,,49.148211243611584
KOR,7,,,,57.42971887550201
KWT,6,,,,31.05263157894737
LBN,6,,,,43.944954128440365
LBN,7,,,,37.83783783783784
LBY,6,,,,56.97976128697457
LBY,7,,,,49.54212454212454
LTU,3,,50.28312570781427,,35.27885862516213
LVA,3,,54.830053667262966,,44.52621895124195
MAC,7,,,,61.811023622047244
MAR,4,,,,48.74791318864774
MAR,5,44.568965517241374,38.75432525951557,93.02325581395348,54.75530932594644
MAR,6,,,,65.9090909090909
MAR,7,,,,51.33333333333333
MDA,3,,67.23044397463002,,60.86956521739131
MDA,4,68.33890746934225,38.242280285035626,68.22429906542055,57.40291262135923
MDA,5,64.75170399221032,55.19922254616132,75.07246376811594,60.27944111776448
MDV,7,,,,44.00386847195358
MEX,2,80.97527472527473,67.23433242506812,39.63538149898717,
MEX,3,,53.65344467640919,,55.47337278106509
MEX,4,79.09722222222221,58.00835654596101,70.87172218284904,56.18556701030928
MEX,5,83.96103896103895,70.45009784735812,66.97187704381949,64.13502109704642
MEX,6,,,,64.29667519181585
MEX,7,,,,55.77712609970674
MKD,3,,62.44493392070485,,50.91116173120729
MKD,4,78.93681043129388,64.40162271805275,82.4773413897281,47.68756423432682
MLI,5,81.25421443020903,77.27891156462586,77.06611570247934,49.28698752228164
MMR,7,,,,51.33333333333333
MNE,3,,76.71232876712328,,43.60189573459716
MNE,4,60.46025104602511,60.76352067868505,77.56613756613756,35.343035343035346
MNG,7,,,,54.15140415140415
MYS,5,61.86511240632806,53.288925895087424,87.2393661384487,48.62155388471178
MYS,6,,,,73.61538461538461
MYS,7,,,,60.396039603960396
NGA,2,77.83400809716599,58.739837398373986,60.87844739530133,
NGA,3,,59.75168132436627,,34.245840042941495
NGA,4,,,,46.21250635485511
NGA,6,,,,35.190449118817504
NGA,7,,,,41.254125412541256
NIC,7,,,,63.33333333333333
NIR,7,,,,64.7887323943662
NLD,5,,,,48.97750511247444
NLD,6,,,,45.2062754212667
NLD,7,,,,72.43367935409458
NOR,3,,75.31194295900178,,62.9695885509839
NOR,5,68.50393700787401,67.84660766961652,42.33791748526522,77.1964461994077
NZL,3,,54.85661424606846,,50.35677879714577
NZL,5,38.53541416566627,50.174621653084984,68.83116883116884,65.03496503496503
NZL,6,,,,52.49266862170088
NZL,7,,,,70.53140096618358
PAK,3,,,,49.711815561959654
PAK,4,,,,7.3896863370547585
PAK,6,,,,46.1082910321489
PAK,7,,,,42.88
PER,3,,63.30434782608696,,45.352112676056336
PER,4,80.90277777777779,56.3013698630137,71.7736369910283,60.847333820306794
PER,5,76.97690692792163,66.87719298245614,73.125,65.71632216678546
PER,6,,,,67.6418439716312
PER,7,,,,59.45144551519645
PHL,3,,55.74324324324324,,68.93874029335633
PHL,4,72.3874256584537,64.27969671440607,71.2721145745577,64.06660823838737
PHL,6,,,,64.1778523489933
PHL,7,,,,67.89297658862876
POL,3,,53.90404515522107,,48.60681114551084
POL,5,52.81615302869288,46.73796791443851,77.25823591923485,42.22474460839955
POL,6,,,,40.133037694013304
PRI,3,,82.01754385964912,,67.34875444839858
PRI,4,81.99718706047821,71.48936170212767,66.04584527220631,65.52706552706553
PRI,7,,,,66.6966696669667
PSE,6,,,,48.90282131661442
QAT,6,,,,64.04602109300096
