Country,Wave,B001,B002,B003,B008
CHE,5,68.31683168316832,51.48514851485149,57.14285714285714,82.10526315789474
CHL,2,87.96992481203007,79.24528301886792,51.78907721280602,
CHL,3,,70.66246056782335,,53.420195439739416
CHL,4,72.3076923076923,62.538699690402474,70.89783281733746,55.095541401273884
CHL,5,61.023622047244096,52.0,83.14176245210729,70.5179282868526
CHL,6,,,,71.73913043478261
CHL,7,,,,64.53488372093024
CHN,2,80.4054054054054,78.92976588628763,40.0,
CHN,3,,81.88405797101449,,62.82722513089005
CHN,4,88.39779005524862,74.28571428571429,20.670391061452513,61.627906976744185
CHN,5,83.81294964028777,74.90909090909092,34.87544483985765,66.26984126984127
CHN,6,,,,70.4326923076923
CHN,7,,,,73.68421052631578
COL,3,,75.59462254395036,,
COL,5,,,,69.89935956084172
COL,6,,,,68.95074946466809
COL,7,,,,74.0072202166065
CYP,5,71.66123778501628,60.26058631921825,69.05537459283387,62.41830065359477
CYP,6,,,,41.00946372239748
CYP,7,,,,48.148148148148145
CZE,2,83.80952380952381,68.57142857142857,35.714285714285715,
CZE,3,,71.42857142857143,,60.913705583756354
CZE,7,,,,51.515151515151516
DEU,3,,66.2870159453303,,46.49532710280374
DEU,5,37.45454545454546,28.87323943661972,70.83333333333334,39.92537313432835
DEU,6,,,,48.98550724637681
DEU,7,,,,75.10729613733905
DOM,3,,88.28125,,70.37037037037037
DZA,4,,,,30.470347648261757
DZA,6,,,,33.42391304347826
ECU,6,,,,61.442786069651746
ECU,7,,,,60.742705570291776
EGY,4,,,,52.96442687747036
EGY,5,51.78335535006605,34.48275862068966,85.27851458885941,45.442536327608984
EGY,6,,,,37.91469194312796
EGY,7,,,,36.86131386861314
ESP,2,78.93401015228426,65.40404040404042,67.91979949874687,
ESP,3,,75.15923566878982,,61.40939597315436
ESP,4,62.213740458015266,55.72519083969466,91.11111111111111,60.24096385542169
ESP,5,52.96442687747036,50.988142292490124,90.34749034749035,72.58064516129032
ESP,6,,,,37.44493392070485
EST,3,,58.986175115207374,,40.28436018957346
EST,6,,,,42.567567567567565
ETH,5,79.64404894327029,72.8395061728395,59.172259507829985,21.511627906976745
ETH,7,,,,45.55735056542811
FIN,3,,62.546816479400746,,48.616600790513836
FIN,5,60.30927835051546,55.44041450777202,50.53191489361703,69.94818652849742
FRA,5,,,,54.2713567839196
GBR,5,,,,56.65236051502146
GBR,7,,,,71.14754098360656
GEO,3,,72.08538587848933,,63.286713286713294
GEO,5,81.94444444444444,52.72727272727272,74.74048442906575,59.55056179775281
GEO,6,,,,55.172413793103445
GHA,5,82.65027322404372,75.9233926128591,52.45231607629428,46.54178674351585
GHA,6,,,,50.95948827292111
GRC,7,,,,64.0
GTM,5,87.21174004192872,67.78242677824268,77.9874213836478,61.52219873150106
GTM,7,,,,60.23489932885906
HKG,5,72.61410788381743,61.98347107438017,41.32231404958678,51.931330472103
HKG,6,,,,74.01960784313727
HKG,7,,,,66.46341463414635
HRV,3,,66.88741721854305,,58.88501742160279
HTI,6,,,,4.671968190854871
HUN,3,,46.24277456647399,,33.13953488372093
HUN,5,48.05825242718447,41.42857142857143,85.23809523809524,49.50980392156863
IDN,4,,,,0.0
IDN,5,75.94278283485045,63.30275229357798,87.93324775353017,35.69364161849711
IDN,7,,,,72.91399229781771
IND,2,84.93003229278796,70.68403908794788,48.81209503239741,
IND,3,,57.88590604026845,,31.970260223048324
IND,4,69.97635933806147,52.69320843091335,56.26477541371159,49.16467780429594
IND,5,74.64387464387464,68.39080459770115,63.231197771587745,52.1613832853026
IND,6,,,,70.02369668246445
IND,7,,,,57.41029641185648
IRN,4,,,,41.48003894839338
IRN,5,84.54545454545455,75.43726235741445,90.5989385898408,46.47239263803681
IRN,7,,,,68.42105263157895
IRQ,6,,,,45.539906103286384
IRQ,7,,,,44.75374732334047
ISR,4,,,,37.46835443037975
ITA,5,60.57142857142858,46.7032967032967,91.93548387096774,61.142857142857146
JOR,4,,,,53.473684210526315
JOR,5,76.2135922330097,44.146341463414636,92.02898550724638,53.284671532846716
JOR,6,,,,36.904761904761905
JOR,7,,,,50.83333333333333
JPN,2,69.03225806451613,44.230769230769226,64.05228758169935,
JPN,3,,61.49068322981367,,46.28099173553719
JPN,4,62.244897959183675,50.24390243902439,59.31372549019608,47.61904761904761
